relation,basal shear surface,basin floor,blocky,bore-hole stability during drilling,build-up of overpressure,canyon mouth,chaotic,chaotic-to-transparent facies,continental margin,continental slope,continuous,critical length,current velocity necessary to initiate sediment transport decreases,curved ramp,decrease in current velocity necessary to initiate sediment transport,deep basin,deepwater basinal setting,deltaic wedge,depo-centers shifting towards the outer shelf,developing mtds,development of mtds in the stress concentrating area,discontinuous,disequilibrium conditions,disintegration and transformation of the debris flows into a turbidity current,dissociation of gas hydrates,effect of the surface slope,effective stress decreases,elevation of upper surfaces,equilibrium conditions,erosional,excess pore pressure,excess pressure and formation stress concentration,failure,fluid overpressure,forced regression,formation of layer of weakness between sedimentary formations,formation stress concentration,gravitational collapse,gravitational spreading,greatest rates of sedimentation at the outer shelf and upper slope,high excess pore pressure,high-amplitude,hummocky,incising lateral ramps into the basal shear surface,increase in excess pore water pressure,increase of excess pore water pressure,increase of volume and pressure buildup,increased shear stress,initiation of the slides,instabilities,layered,local overpressure,location and style of up-dip termination of the mass transport deposits,low-amplitude,mass movement initiation,mass transport deposit,mediterranean continental margin,mediterranean continental margins,non-glaciated margin,parallel,passive margin,pore pressure buildup,pore-water pressures build up,potential for mass-transport events,reduction of shear strength of sediment,sediment approaches a state of liquefaction,sediment or rock failure,sediment or rock to fail,sediment vulnerability to damage,shift of depocenters towards the outer shelf,slope destabilization,slope failure,slope failures,slope instability,stability criterion,stable paleo-lakebed,strength development,submarine landslides,subsequent flows,tectonically active margin,temperature increase at the bhsz,thickness of mass transport deposits,thin,transparent,undeformed,unstable condition,up to 500m in thickness,up-dip termination of mass transport deposits,upper slope,upper surface,wedge-shaped
causes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,2,1,1,0,0,1,1,1,1,1,0,2,0,0,0,0,3,3,0,0,0,0,0,1,0,1,1,1,3,1,1,1,1,2,1,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0
hasDescriptor,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,1
occursIn,0,1,0,0,0,1,0,0,2,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
triggers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
affects,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
controls,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
overlies,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
partOf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
