node,degree,in_degree,out_degree,betweenness,closeness,eigenvector,pagerank,community,n_papers
slide sheet,1,0,1,0.0,0.1476,0.019,0.0041,0,1
deep-water basinal settings,1,1,0,0.0,0.1955,0.1114,0.0055,0,1
ebro margin,1,1,0,0.0,0.1955,0.1114,0.0055,0,1
mediterranean continental margin,1,1,0,0.0,0.1288,0.0041,0.0049,3,1
continental margin,1,1,0,0.0,0.1288,0.0041,0.0049,3,20
rugged upper surface,1,0,1,0.0,0.0063,0.0,0.0041,-1,1
stable paleo-lakebed,1,1,0,0.0,0.0063,0.0,0.0075,-1,1
earthquake,1,0,1,0.0,0.1609,0.0239,0.0041,1,6
external perturbations,1,0,1,0.0,0.0095,0.0,0.0041,-1,1
seismic activity,1,0,1,0.0,0.0063,0.0,0.0041,-1,1
"liquefaction of coarse-grained, cohesionless soils",1,1,0,0.0,0.0063,0.0,0.0075,-1,1
incision of lateral ramps,1,1,0,0.0,0.1609,0.0239,0.012,1,0
translational sliding,1,0,1,0.0,0.0063,0.0,0.0041,-1,1
gravitational spreading,1,1,0,0.0,0.0063,0.0,0.0075,-1,1
seaﬂoor,1,1,0,0.0,0.1217,0.0037,0.0052,4,10
free gas,1,0,1,0.0,0.0063,0.0,0.0041,-1,2
slope stability,1,1,0,0.0,0.0063,0.0,0.0075,-1,2
late period erosion,1,0,1,0.0,0.1518,0.0208,0.0041,4,1
retarded strength development,1,0,1,0.0,0.0084,0.0,0.0041,-1,1
up to 500m in thickness,1,1,0,0.0,0.1476,0.019,0.0058,0,1
whole wedge failures,1,1,0,0.0,0.1476,0.019,0.0058,0,1
rapid rate of sedimentation,1,0,1,0.0,0.1282,0.0043,0.0041,1,1
overpressure development,1,1,0,0.0,0.0095,0.0,0.0058,-1,1
rapid sedimentation,1,0,1,0.0,0.1282,0.0043,0.0041,1,1
steepest portion of the slope,1,0,1,0.0,0.0063,0.0,0.0041,-1,1
area where no scarp exists,1,1,0,0.0,0.0063,0.0,0.0075,-1,1
amapá megaslide complex,1,0,1,0.0,0.1476,0.019,0.0041,0,1
thin,1,1,0,0.0,0.1196,0.0038,0.0058,5,1
fold,1,0,1,0.0,0.1484,0.0202,0.0041,6,6
deltaic wedge,1,1,0,0.0,0.1288,0.0041,0.0049,3,1
extensional domain,1,0,1,0.0,0.1955,0.1114,0.0041,0,3
upper surface,1,1,0,0.0,0.1955,0.1114,0.0055,0,2
three structural domains,1,1,0,0.0,0.1955,0.1114,0.0055,0,1
ramps and promontories,1,1,0,0.0,0.1217,0.0037,0.0052,4,1
erosion grooves,1,0,1,0.0,0.1518,0.0208,0.0041,4,1
50–60 ka failure event,1,0,1,0.0,0.0063,0.0,0.0041,-1,1
lower headwall formation,1,1,0,0.0,0.0063,0.0,0.0075,-1,1
disequilibrium conditions,1,0,1,0.0,0.0063,0.0,0.0041,-1,1
potential for mass-transport events,1,1,0,0.0,0.0063,0.0,0.0075,-1,1
excess pore pressure,1,0,1,0.0,0.1609,0.0239,0.0041,1,5
gas hydrate disassociation,1,0,1,0.0,0.0114,0.0,0.0041,-1,1
formation of layer of weakness,1,1,0,0.0,0.1061,0.0007,0.0058,1,1
gas-hydrate dissociation,1,0,1,0.0,0.0084,0.0,0.0041,-1,1
higher shear stresses,1,0,1,0.0,0.0063,0.0,0.0041,-1,1
instability,1,1,0,0.0,0.0063,0.0,0.0075,-1,1
sea level fall,1,0,1,0.0,0.0911,0.0001,0.0041,3,1
erosional scour,1,1,0,0.0,0.1609,0.0239,0.012,1,0
steepening up-dip,1,0,1,0.0,0.1269,0.0041,0.0041,1,1
subaqueous slope failure,1,0,1,0.0,0.1955,0.1114,0.0041,0,2
volume and pressure buildup,1,0,1,0.0,0.0063,0.0,0.0041,-1,1
pore-fluid overpressure,1,1,0,0.0,0.0063,0.0,0.0075,-1,1
cohesion of the basal detachment,1,0,1,0.0,0.0063,0.0,0.0041,-1,1
stability criterion,1,1,0,0.0,0.0063,0.0,0.0075,-1,1
length of the sliding sheet,1,0,1,0.0,0.0084,0.0,0.0041,-1,1
hemipelagite,1,0,1,0.0,0.1526,0.0232,0.0041,2,3
variable-amplitude,1,1,0,0.0,0.1955,0.1114,0.0055,0,1
disrupted,1,1,0,0.0,0.1263,0.0121,0.0049,2,1
preserved block,1,0,1,0.0,0.1509,0.0211,0.0041,2,2
remnant block,1,0,1,0.0,0.1484,0.0223,0.0041,5,2
espírito santo basin,1,1,0,0.0,0.1476,0.019,0.0058,0,1
tectonically active margin,1,1,0,0.0,0.1288,0.0041,0.0049,3,4
basin floor,1,1,0,0.0,0.1269,0.0122,0.0046,2,2
upper slope,1,1,0,0.0,0.1269,0.0122,0.0046,2,5
turbidite system,1,0,1,0.0,0.0063,0.0,0.0041,-1,5
amazon fan,1,1,0,0.0,0.0063,0.0,0.0075,-1,5
blocky material,1,0,1,0.0,0.1518,0.0208,0.0041,4,1
translational domain,1,0,1,0.0,0.1955,0.1114,0.0041,0,1
canyon erosion,1,0,1,0.0,0.0114,0.0,0.0041,-1,1
slope instability,1,1,0,0.0,0.1282,0.0043,0.0087,1,2
slumping,1,1,0,0.0,0.0911,0.0001,0.0119,3,1
seismic loading,1,0,1,0.0,0.1609,0.0239,0.0041,1,3
seismic trigger,1,0,1,0.0,0.0114,0.0,0.0041,-1,1
storm waves,1,0,1,0.0,0.0063,0.0,0.0041,-1,1
seabed instability,1,1,0,0.0,0.0063,0.0,0.0075,-1,1
